#<numArtery>,	<numMeshPoint>
0,	0
0,	7
0,	15
0,	23
0,	31
0,	39
0,	47
0,	55
0,	63
0,	71
0,	79
0,	87
0,	95
0,	103
0,	111
0,	119
0,	127
0,	135
0,	143
0,	151
0,	159
0,	167
0,	175
0,	183
0,	191
0,	199
0,	207
0,	215
0,	223
0,	230
0,	239
0,	247
0,	255
0,	263
0,	271
0,	279
0,	287
0,	295
0,	303
0,	311
0,	319
0,	327
0,	335
0,	343
0,	351
0,	359
0,	367
0,	375
0,	383
0,	391
0,	399
0,	407
0,	415
0,	423
0,	431
0,	439
0,	447
0,	455
0,	462
0,	471
0,	479
0,	487
0,	495
0,	503
0,	511
0,	519
0,	527
0,	535
0,	543
0,	551
0,	559
0,	567
0,	575
0,	583
0,	591
0,	599
0,	607
0,	615
0,	623
0,	631
0,	639
0,	647
0,	655
0,	663
0,	671
0,	679
0,	687
0,	695
0,	703
0,	711
0,	719
0,	727
0,	735
0,	743
0,	751
0,	759
0,	767
0,	775
0,	783
0,	791
0,	799
0,	807
0,	815
0,	823
0,	831
0,	839
0,	847
0,	855
0,	863
0,	871
0,	879
0,	887
0,	895
0,	903
0,	911
0,	919
0,	926
0,	935
0,	943
0,	951
0,	959
0,	967
0,	975
0,	983
0,	991
0,	999
0,	1007
0,	1015
0,	1023
0,	1031
0,	1039
0,	1047
0,	1055
0,	1063
0,	1071
0,	1079
0,	1087
0,	1095
0,	1103
0,	1111
0,	1119
0,	1127
0,	1135
0,	1143
0,	1151
0,	1159
0,	1167
0,	1175
0,	1183
0,	1191
0,	1199
0,	1207
0,	1215
0,	1223
0,	1231
0,	1239
0,	1247
0,	1255
0,	1263
0,	1271
0,	1279
0,	1287
0,	1295
0,	1303
0,	1311
0,	1319
0,	1327
0,	1335
0,	1343
0,	1351
0,	1359
0,	1367
0,	1375
0,	1383
0,	1391
0,	1399
0,	1407
0,	1415
0,	1423
0,	1431
0,	1439
0,	1447
0,	1455
0,	1463
0,	1471
0,	1479
0,	1487
0,	1495
0,	1503
0,	1511
0,	1519
0,	1527
0,	1535
0,	1543
0,	1551
0,	1559
0,	1567
0,	1575
0,	1583
0,	1591
0,	1599
1,	0
1,	3
1,	7
1,	11
1,	15
1,	19
1,	23
1,	27
1,	31
1,	35
1,	39
1,	43
1,	47
1,	51
1,	55
1,	59
1,	63
1,	67
1,	71
1,	75
1,	79
1,	83
1,	87
1,	91
1,	95
1,	99
1,	103
1,	107
1,	111
1,	114
1,	119
1,	123
1,	127
1,	131
1,	135
1,	139
1,	143
1,	147
1,	151
1,	155
1,	159
1,	163
1,	167
1,	171
1,	175
1,	179
1,	183
1,	187
1,	191
1,	195
1,	199
1,	203
1,	207
1,	211
1,	215
1,	219
1,	223
1,	227
1,	230
1,	235
1,	239
1,	243
1,	247
1,	251
1,	255
1,	259
1,	263
1,	267
1,	271
1,	275
1,	279
1,	283
1,	287
1,	291
1,	295
1,	299
1,	303
1,	307
1,	311
1,	315
1,	319
1,	323
1,	327
1,	331
1,	335
1,	339
1,	343
1,	347
1,	351
1,	355
1,	359
1,	363
1,	367
1,	371
1,	375
1,	379
1,	383
1,	387
1,	391
1,	395
1,	399
1,	403
1,	407
1,	411
1,	415
1,	419
1,	423
1,	427
1,	431
1,	435
1,	439
1,	443
1,	447
1,	451
1,	455
1,	459
1,	462
1,	467
1,	471
1,	475
1,	479
1,	483
1,	487
1,	491
1,	495
1,	499
1,	503
1,	507
1,	511
1,	515
1,	519
1,	523
1,	527
1,	531
1,	535
1,	539
1,	543
1,	547
1,	551
1,	555
1,	559
1,	563
1,	567
1,	571
1,	575
1,	579
1,	583
1,	587
1,	591
1,	595
1,	599
1,	603
1,	607
1,	611
1,	615
1,	619
1,	623
1,	627
1,	631
1,	635
1,	639
1,	643
1,	647
1,	651
1,	655
1,	659
1,	663
1,	667
1,	671
1,	675
1,	679
1,	683
1,	687
1,	691
1,	695
1,	699
1,	703
1,	707
1,	711
1,	715
1,	719
1,	723
1,	727
1,	731
1,	735
1,	739
1,	743
1,	747
1,	751
1,	755
1,	759
1,	763
1,	767
1,	771
1,	775
1,	779
1,	783
1,	787
1,	791
1,	795
1,	799
2,	0
2,	3
2,	7
2,	11
2,	15
2,	19
2,	23
2,	27
2,	31
2,	35
2,	39
2,	43
2,	47
2,	51
2,	55
2,	59
2,	63
2,	67
2,	71
2,	75
2,	79
2,	83
2,	87
2,	91
2,	95
2,	99
2,	103
2,	107
2,	111
2,	114
2,	119
2,	123
2,	127
2,	131
2,	135
2,	139
2,	143
2,	147
2,	151
2,	155
2,	159
2,	163
2,	167
2,	171
2,	175
2,	179
2,	183
2,	187
2,	191
2,	195
2,	199
2,	203
2,	207
2,	211
2,	215
2,	219
2,	223
2,	227
2,	230
2,	235
2,	239
2,	243
2,	247
2,	251
2,	255
2,	259
2,	263
2,	267
2,	271
2,	275
2,	279
2,	283
2,	287
2,	291
2,	295
2,	299
2,	303
2,	307
2,	311
2,	315
2,	319
2,	323
2,	327
2,	331
2,	335
2,	339
2,	343
2,	347
2,	351
2,	355
2,	359
2,	363
2,	367
2,	371
2,	375
2,	379
2,	383
2,	387
2,	391
2,	395
2,	399
2,	403
2,	407
2,	411
2,	415
2,	419
2,	423
2,	427
2,	431
2,	435
2,	439
2,	443
2,	447
2,	451
2,	455
2,	459
2,	462
2,	467
2,	471
2,	475
2,	479
2,	483
2,	487
2,	491
2,	495
2,	499
2,	503
2,	507
2,	511
2,	515
2,	519
2,	523
2,	527
2,	531
2,	535
2,	539
2,	543
2,	547
2,	551
2,	555
2,	559
2,	563
2,	567
2,	571
2,	575
2,	579
2,	583
2,	587
2,	591
2,	595
2,	599
2,	603
2,	607
2,	611
2,	615
2,	619
2,	623
2,	627
2,	631
2,	635
2,	639
2,	643
2,	647
2,	651
2,	655
2,	659
2,	663
2,	667
2,	671
2,	675
2,	679
2,	683
2,	687
2,	691
2,	695
2,	699
2,	703
2,	707
2,	711
2,	715
2,	719
2,	723
2,	727
2,	731
2,	735
2,	739
2,	743
2,	747
2,	751
2,	755
2,	759
2,	763
2,	767
2,	771
2,	775
2,	779
2,	783
2,	787
2,	791
2,	795
2,	799
3,	0
3,	7
3,	15
3,	23
3,	31
3,	39
3,	47
3,	55
3,	63
3,	71
3,	79
3,	87
3,	95
3,	103
3,	111
3,	119
3,	127
3,	135
3,	143
3,	151
3,	159
3,	167
3,	175
3,	183
3,	191
3,	199
3,	207
3,	215
3,	223
3,	230
3,	239
3,	247
3,	255
3,	263
3,	271
3,	279
3,	287
3,	295
3,	303
3,	311
3,	319
3,	327
3,	335
3,	343
3,	351
3,	359
3,	367
3,	375
3,	383
3,	391
3,	399
3,	407
3,	415
3,	423
3,	431
3,	439
3,	447
3,	455
3,	462
3,	471
3,	479
3,	487
3,	495
3,	503
3,	511
3,	519
3,	527
3,	535
3,	543
3,	551
3,	559
3,	567
3,	575
3,	583
3,	591
3,	599
3,	607
3,	615
3,	623
3,	631
3,	639
3,	647
3,	655
3,	663
3,	671
3,	679
3,	687
3,	695
3,	703
3,	711
3,	719
3,	727
3,	735
3,	743
3,	751
3,	759
3,	767
3,	775
3,	783
3,	791
3,	799
3,	807
3,	815
3,	823
3,	831
3,	839
3,	847
3,	855
3,	863
3,	871
3,	879
3,	887
3,	895
3,	903
3,	911
3,	919
3,	926
3,	935
3,	943
3,	951
3,	959
3,	967
3,	975
3,	983
3,	991
3,	999
3,	1007
3,	1015
3,	1023
3,	1031
3,	1039
3,	1047
3,	1055
3,	1063
3,	1071
3,	1079
3,	1087
3,	1095
3,	1103
3,	1111
3,	1119
3,	1127
3,	1135
3,	1143
3,	1151
3,	1159
3,	1167
3,	1175
3,	1183
3,	1191
3,	1199
3,	1207
3,	1215
3,	1223
3,	1231
3,	1239
3,	1247
3,	1255
3,	1263
3,	1271
3,	1279
3,	1287
3,	1295
3,	1303
3,	1311
3,	1319
3,	1327
3,	1335
3,	1343
3,	1351
3,	1359
3,	1367
3,	1375
3,	1383
3,	1391
3,	1399
3,	1407
3,	1415
3,	1423
3,	1431
3,	1439
3,	1447
3,	1455
3,	1463
3,	1471
3,	1479
3,	1487
3,	1495
3,	1503
3,	1511
3,	1519
3,	1527
3,	1535
3,	1543
3,	1551
3,	1559
3,	1567
3,	1575
3,	1583
3,	1591
3,	1599
